review,sentiment
"This early film has its flaws-- a predictable plot and some overlong scenes of dubious relevance-- but it already clearly demonstrates Hitchcock's mastery of editing and the use of powerful images. It's also among the most expressionist of his films stylistically; note, for examples, the weird distortions he uses during the party sequence and the frequent echoes of both title and plot in the imagery.<br /><br />Its core, though, remains the final match, which is still among the more exciting examples of cinematic boxing. Even though you know that the hero has to win, it becomes quite believable that he will lose, and the movement of his wife from the champion's corner to his, motivating the final plot pay-off, is very well entwined with the progress of the match. The inserts of the stopwatch do exactly what they should; you can almost hear the ticking (even though this is a silent film, the visuals often have a surprisingly auditory feel to them). The pacing becomes astonishingly rapid, and the viewer gets sucked into the excitement and brutality of both the match and the sexual jealousy which underlies it.<br /><br />The only DVD release with which I am familiar is that of Laserlight, a public domain company. As with each Hitchcock silent they've released, they've attached various musical selections, mostly orchestral, to the action. The sound editing is frequently sloppy, and the sound quality varies widely, but some genuine care seems to have gone into most of the actual choices, and the music accompanying the final match works extremely well; it is unlikely that this sequence will ever be better accompanied than it is here.<br /><br />This is a much more impressive film than its present obscurity would suggest. It deserves an honorable place in both the Hitchcock canon and the slender list of worthwhile boxing films.",positive
"""Indian burial ground"": If those three words appear anywhere in a real-estate listing, look for a different neighborhood. A young couple with a young daughter and a toddler-age son move into a Maine house adjacent to a pet cemetery--and, after a l-o-o-o-ng hike, an ancient Indian burial ground. Seems the Indian ground can bring Fido or Fluffy back from the dead--if you don't mind having a raving hell beast for a pet. It can do the same for dead people--if you don't mind having a homicidal zombie around the house.<br /><br />Throw in a busy two-lane blacktop, speeding big rigs, a well-meaning (if somewhat dim) old neighbor, and one kid who really doesn't get enough supervision, and I think you can figure out what happens from there--an over-the-top, illogical mess, which, in all fairness, does offer up a few scares.<br /><br />Well, there are worse Stephen King adaptations (such as ""Maximum Overdrive,"" which King also directed). But there are far better ones, too (such as ""Salem's Lot,"" ""The Dead Zone,"" and both versions of ""The Shining"").",negative
"I think a great many viewers missed entirely the fact that this is obviously a parody of western films.<br /><br />This is not a bad movie - it is a clever tongue in cheek take on westerns. I don't believe this film was taking itself seriously for a moment.<br /><br />What makes this film even more unique is the fact it is centered around 4 strong, beautiful women, two of which are black, one Asian, and a Mexican/Hispanic character.<br /><br />These aren't your usual western women--they're tough--they can draw fast and shoot straight.<br /><br />They're so tough even the bartender is shaking when he pours their whiskey.<br /><br />The plot which moves this story along is typical of westerns--in the vein of ""you shot my brother--so I'm gonna get you!"" Only in this western, a woman's sister has been shot and she's out for vengeance on the gang who did it.<br /><br />So she goes and rounds up her old cronies from her bank robbing days.<br /><br />One of them, Maria, is not really all that interested in avenging Rachel's sister, but she is motived by the fact there's gold and jewelry hidden in the town where they're headed.<br /><br />There are a couple of scenes that don't quite make sense, not that they interfere that much, they can be ignored, but I wondered why they were there. So the film could use a little tightening, but over all, this is a well made film that has failed to find an audience that recognized what it is.<br /><br />My only disappointment was that the only lesbian in the film is a villain--of the ""heroines"", one is obviously straight, the others sexual orientations are never disclosed.<br /><br />7 Stars",positive
"I don't think a movie like this would be released today. It takes it's time to present the depth of the characters and the plot isn't full of twists and turns to keep you on the edge of your seat.<br /><br />But, what this film does have: an interesting study in how families' deal with grief. How when the language for healing and over-coming tremendous loss leaves us mute, and we rely on raw emotions instead. Grief without reason and patience is anger, even hate. And unfortunately, the lead character (a young boy who accidently shoots and kills his brother while hunting) in the film is given more than his fair share of it. He eventually leaves and moves in with his grandfather (Wilford Brimley) who makes it clear to him that it WAS an accident. I got the impression that this young man knew that in his heart, but needed to hear those words from his parents, and to receive their forgiveness.<br /><br />What I loved about this film: the lack of dialog. There was a tremendous emphasis on physical reaction, facial expressions. And the slower pace of the film allows you to really watch the reactions of the actors. Something we don't get to do alot of with today's films.<br /><br />",positive
"I really wanted to like The Pillow Book. Intriguing story, interesting character outlines, Ewan Macgregor in the utterly glorious altogether. Unfortunately, I hated every minute of it. Greenaway got so enamoured with presenting the movie uniquely, and not to the film's benefit. I won't even get into Vivian Wu's abysmal acting.<br /><br />You get distracted from the story with 4 billion teeny windows and calligraphy that rolls on the bottom of the screen displaying the lyrics of the music that's playing. It seems he lost sight of presenting the actual story and developing the plot, and got entangled with foo-foo embellishments that have nothing to do with anything. It's a bit like presenting a John Singer Sargeant portrait in a chintzy Hallmark frame that says ""GRANDMA LOVES ME!"" in big sparkly letters.<br /><br />This movie seems to be a casualty of the director auteur's ego instead of what it could have been - disturbingly and horrifyingly beautiful. In another director's hands (Jeunet? Coppola?), it could have been a masterpiece. In Greenaway's hands, it's best relegated to fine arts classes that also take themselves too seriously.",negative
"Jack Webb is riveting as a Marine Corp drill instructor in the D.I.. Webb play Sgt.Jim Moore, a tough but fair Marine whose job it is to prepare young teens for possible combat. No one could have played this role any better that Jack Webb. As a former Marine,I can assure that this is the most accurate film dealing with basic training in the Corp. Extremely entertaining!",positive
"I haven't read a biography of Lincoln, so maybe this was an accurate portrayal......<br /><br />And maybe it's because I'm used to the equally alienating and unrealistic worshiping portrayals that unnaturally deify Lincoln as brilliant, honorable, and the savior of our country......<br /><br />But why would they make a movie representing Lincoln as a buffoon? While Henry Fonda made an excellent Lincoln, his portrayal of him as an ""aw shucks, I'm just a simple guy"" seemed a little insulting.<br /><br />[Granted, that was Bushie Jr.'s whole campaign, to make us think he was ""just a regular guy"" so we wouldn't care that he's a rich & privileged moron -- but that's a whole other story.]<br /><br />Not only did the film show Lincoln as sort of a simple (almost simple-minded) kind of guy , the film states that Lincoln just sort of got into law by accident, and that he wasn't even that interested in the law - only with the falsely simplistic idea of the law being about rights & wrongs. In the film he's not a very good defense attorney (he lounges around with his feet on the table and makes fun of the witnesses), and the outcome is mostly determined by chance/luck.<br /><br />Furthermore, partly because this was financed by Republicans (in reaction to some play sponsored by Democrats that had come out) and partly because it was just the sentiment of the times, the film is unfortunately religious, racist and conservative.<br /><br />Don't waste your time on this film!",negative
"LIGHTS OF NEW YORK was the first ""all-taking"" feature film, coming in at a brisk 57 minutes and directed by Bryan Foy (of the famous vaudeville family).<br /><br />The story has two dopey barbers (Cullen Landis, Eugene Palette) yearning for a chance at ""big city life"" and getting involved with gangsters and bootleg booze. One of the guys gets framed for the murder of a cop but is saved at the last minute by a gun moll (Gladys Brockwell).<br /><br />Much of the story takes place in a night club called The Night Hawk, which is run by a crook named Hawk (Wheeler Oakman) who has his eye on a pretty chorine (Helene Costello) who is the girl friend of Landis. Costello gets to do a brief dance, and we hear Harry Downing (made up to resemble Ted Lewis) sing ""At Dawning) in his best Al Jolson style.<br /><br />The acting ranges from good (Palette and Brockwell) to awful (Oakman). A couple of the actors muff their lines but then keep right on with the scene. As noted elsewhere this was intended to be a short 2-reeler and was made on a shoestring budget. Yet the sound quality is surprisingly good, the voices all register clearly, and there is a neat cinematic touch in the silhouette death.<br /><br />The film was a box-office smash even though it was shown as a silent film where theaters were not wired for the new sound technology. No one expected this little film to gross an amazing $1.3 million. It briefly made stars of Costello and Landis and certainly launched Palette on his long career as a star character actor.<br /><br />Co-stars include Mary Carr as the mother, Robert Elliott as the detective, Eddie Kane as the street cop, and Tom Dugan as a thug.",positive
"I don't know how expensive was the creation of this movie but the effects were awful. Half of the movie was filmed on stage in front of a movie canvas (that's sure that blue box wouldn't look so artificial). When they traveled on a boat, the background canvas was moved imitating the movement of waves but the characters weren't moving. The CGI effects: terrible (I am not sure but I guess the effect were created with Paint and made a GIF sequence of them - next time the creators should hire a professional CGI maker team). It looks like the CGI creator would have drawn on the picture strip with shaky hands. Awful, that's sure. When I first saw the trailer, I thought it was created in 1983. One of my friend told me the correct date: 2005. My jaw dropped, I was so shocked, I thought he was kidding. People, I recommend you to skip this movie, the story is also twisted, you won't enjoy it.",negative
"I love Sarah Waters's Fingersmith, and was worried about the TV adaptation as I'd been disappointed by the BBC's version of Tipping the Velvet (which although beautiful to look at was let down by Keeley Hawes not being able to sing, and Rachael Stirling not being able to act). Fingersmith is a very tightly plotted novel with breath taking twists and turns and I wondered if this could be done justice to in just 3 hours.<br /><br />I needn't have worried. The adaptation was excellent, very little cut out, and went along at a cracking pace (although I did wonder whether if you hadn't read the book, would you miss things?). It had the look and feel of a BBC classic costume drama and i kept having to remind myself that this is a contemporary book.<br /><br />The acting was stellar. Sally Hawkins acting her heart out as Sue Trinder, and Elaine Cassidy, a slow burner, who by the end of the story was incandescent as Maud Lilley. The love, the passion, the realisation of the acts of betrayal both would have to perform, were written on their faces. It was a joy to watch.<br /><br />I hope Rachael Stirling was watching: that's how you play a Sarah Waters character!",positive
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",negative
"If this movie was written directed and produced with the intention of creating a bad movie cult classic, it might (i say might) have been a hit. Have you ever sat and watched a movie that was so absolutely awful that it becomes fascinating in terms of its faults? Well this is it. Every one of the acting cast should be nominated for worst acting performance awards. It would be hard to find another film, with this kind of production budget, that contains so little of any value whatsoever. The whole thing, from the opening scenes defies logic. Dialogue is completely unbelievable and illogical. Ditto for the behaviour and general storyline of the film itself. What is really mind boggling, is that some buffoons in a boardroom actually made decisions to spend money on this piece of trash. Wow.",negative
"It is like what the title of this thread say. Only impression I got from that movie is that Marlee Matlin's character was always angry, so cynical, and so pathetic. Her character's first date with William Hurt's character where they were dancing were dumb. All in all, I've tried to finish watching the movie four times, and of all four times I fell asleep. I would keep watching that movie with one intention... to beat my problem with insomnia, because all it do is to put me to sleep. Sweet dream.",negative
"Whatever rating I give BOOM is only because of the superb location photography of Sardinia and Rome. Otherwise, this is only for hardcore addicts of ELIZABETH TAYLOR (her downward phase), and RICHARD BURTON (his miscasting phase). Tennessee Williams wrote ""The Milk Train Doesn't Stop Here Anymore"" and is supposed to be very fond of this adaptation of his play--but apparently, he was the only one. Taylor reportedly hated it and Burton needed the money.<br /><br />Whatever, it amounts to a hill of beans with Taylor posturing and fuming in her shrill manner, exploding at the servants and exchanging bad baby-talk with no less than NOEL COWARD who seems to be a visitor from another film when he finally appears.<br /><br />It's so campy that among Taylor fans it's probably considered a ""must see"" kind of thing. But if you can sit through this one without a drink in your hand, you're way ahead of me. Sadly, this is the film that signified the end of Taylor being taken seriously as a film actress, even after winning two Oscars. For Burton, it was equally disastrous and the critics called it a BOMB. Judge for yourself if you dare.",negative
"As hard as it is for me to believe, with all of the awful reality shows out there over the past few years, this one has to take over the top spot for worst one yet. I am still wondering if this was actually just a spoof done by the SCTV gang. If Andy Kaufmann were still alive I'd be sure he was behind this. Can a rock band stoop any lower than has INXS to do such a shameful thing as this? The premise is simple and moronic. Audition a bunch of karaoke rejects to become the new lead singer of INXS, to take the place of Michael Hutchence (who committed suicide in 1997). Eight years and no hits later, the band commit the ultimate act of patheticness by subjecting themselves to auditioning a bunch of talentless wannabes to be the new lead singer of a band that is 20 years past its prime. So they trot all of these awful singers (I thought American Idol had its share of doozies) who do atrocious renditions of just about every classic (and predictable) rock song imaginable. And then they cut to the INXS band members who are seriously discussing the merits of each of these candidates. You could see better (and more original) rock performers at just about any night club in any city in the world.<br /><br />It has all the usual uncreative elements of every other reality show. Lame reality participants, lame interviews, lame host/emcee, lame ""judging"" of performances, and the lame booting of one participant at the end of each show. Can these shows get any more predictable? It's clearly a publicity stunt on the part of the band; a last gasp of hope at rekindling their lost stardom before they are finally buried into oblivion. Michael Hutchence, if he had any shred of dignity when alive, has to be rolling over in his grave. Not that INXS were ever a great band, but I had no idea they were this pathetic. If INXS are at all representative of what rock and roll has become, this show would be the final proof that rock and roll is once and for all, dead.",negative
"This program would be useful for training hardened felons basic human emotions. Beyond this purpose, the show has no value other than to fill bandwidth that would otherwise go unutilized in the electromagnetic spectrum. I feel a greater sense of suspense and anticipation listening to a computerized voice chip endlessly droning out the products of a random number generator. Fortunately, the helpful and frequent music cues will tell viewers how they're supposed to feel, in case they are unable to fully internalize the predictable and shallow plot line. I did find Amy to be a superficially positive character, as she is a role model to young women that they can serve in traditionally male fields. Unfortunately, her totally subjective approach to the law is guided solely by whatever capricious personal guidelines Amy elects to employ, resulting in Amy's trials more closely resembling appeals to the personal mercy of a tribal despot than a true administration of justice. This show is unpalatable in any amount, although this is to some extent mitigated after two episodes by the brain's god-given filtering processes, by which the show will thankfully leave the same imprint on the viewer's memory as a television tuned to a dead channel at maximum volume.",negative
"I love the comics. Although I do have problems fully understanding the stories  the visual style is unique with all its dirt, dust and decay. So I thought I knew what I was up for. Surprisingly I understood the main plot  but some extremely poorly decisions where made for its visual style. <br /><br />I mean - really bad looking ""CG human actors""-in close ups? Why?! It did not work at all!! Horus - and the other Egyption gods - was successfully made in CG and very close to the comic version. <br /><br />I think with real actors this movie could have been a cult movie. <br /><br />What a shame.",negative
"This is probably one of those films too many commented but undiscovered... This is probably one masterpiece of Spanish cinema like some Buñuel's masters-piece. ""15 days with you"" could be the better ""now and them"" re-visitation from others films of long-time ago: could be ""Midnight cowboy"" but could be also ""Les amants du Pont-Neuf"" or a realistic and non-spot-look (but most realistic) ""trainspotting"". This hard story has place to humour, love and obviously dramatic sense. In the new social Spanish cinema this little diamond could be the resurrection of the Italian neo realism mixed whit the best Ken Loach films.<br /><br />Probably the better film I discover in the last 10 years.",positive
"This piece of crap might have been acclaimed 60 years ago, but it is one of the most racist movies ever made with the Native American Indians played by white men. The right-wing Republican James Stewart was a huge racist in real life, just like his close friend John Wayne. In 1971 Stewart had actor Hal Williams fired from ""The Jimmy Stewart Show"" (a short-lived series that mercifully flopped) just because Williams was black. As if that were not bad enough, this film is very dated and boring. Watch ""Dances with Wolves"" instead for a less racist view.<br /><br />Stewart was in his forties when this awful movie was made, and even with his ridiculous wig he still looked like a paedophile chasing after 16-year-old Debra Paget. I'm surprised it was even allowed.<br /><br />0/10.",negative
"Steve Biko was a black activist who tried to resist the white minority governed South Africa in much the same way as Gandhi tried to resist the British empire's colonialism in India. Richard Attenborough's film Cry Freedom is not about Biko or Apartheid as much as it is about Donald Woods, the white liberal newspaper editor who risked his life trying to tell Biko's story. The film has a jarring point of view switch after Biko dies in prison from tortuous behavior at the hands of South African ""police"". Woods, played by Kevin Kline, must choose whether to do the right thing and flee the country to publish books about Biko or allow his wife, played by Penelope Wilton, to pressure him into forgetting about the books. In that case, Biko dies in vain. What begins as a life-changing friendship between Biko and Woods degenerates into a standard by the numbers escape over the border yarn after Biko's death. Oscar-nominated Denzel Washington is good in only his fourth film as Biko, but something is wrong in a film that tries to depict the struggles of Apartheid by focusing more on the trials of a white family for more than half the film. Attenborough would have served his topic better by focusing on Biko's rise to prominence instead of beginning where Biko befriended Woods. Perhaps a black actor in a leading role in a 2 1/2 hour film wasn't exactly conducive to big box office, but the film was a tremendous box office flop anyway. Film politics aside, the film still entertains and sends a message or two, albeit, in PG-sanitized fashion. *** of 4 stars.",positive
"First of all, no one with any law enforcement experience (Not ER or EMT, but real law enforcement) takes this show seriously. Walker would be drummed out of any police force in the US for his illegal and totally unprofessional tactics. On top of that, he is a comic book character---no acting ability, incredibly trite lines, no character development. The fact that Alex Cahill loves him shows just how dumb blondes really are. And Trivett is the ultimate clown in black-face. Come on---if you think Walker is a heartfelt show without bias, then explain why JT is treated as a dolt, always is the subject of Walker's jokes, never is allowed to be the one to solve the crime, and never rescues Walker, who should be dead 50 times over for the stupid things he does. While it may be true that many criminals are even dumber than the detectives who go after them (and believe me, most cops are dumber than dirt), the smart ones Walker comes up against never seem to get the point that once Walker is captured, the jerk needs to be put of his misery. But then again, Norris produced the show as well as starred in it, so how could he willingly get rid of himself or even show how stupid his tactics are. As if six guys are going to wait around to take him one at a time. What a terrible series! It is more demeaning than any of the hokey westerns like The Lone Ranger, Roy Rogers, The Cisco Kid, and Wild Bill Hickock, though I would imagine that most of you on here are far too young to remember those shows. But like those shows, in the same way as those shows, Walker TR is just as insulting and just plain silly.",negative
"This movie is just funny. mindless, but funny. to enjoy this movie completely you can't have a perception of how a film like this goes and just enjoy all the side jokes and puns which are involved with the film. I still find the bit at the start funny when he says ""want a beer........cock"". funny stuff. but what makes the film decent is the fact that it doesn't try to hard to create a serious spin on the film, too many comedies try to have serious aspects which you just don't believe. But this is different and just focuses on being funny. I must say though, Yasmin bleeth is terrible in the film and adds nothing but the 3 main guys, coop, remer and squeak are very funny to watch and make the film great to watch",positive
"I would highly recommend this movie! And I certainly shall be personally recommending it to my friends and family here and abroad! It was with excited anticipation, that I have just pre-ordered it online, I enjoyed it so much! It is not out until February/March 2008, but it will be well worth the wait! But first go and see it in the cinema if you can. There is nothing quite like the Cinema-Experience of a cinema-made movie! Insist that your local cinema puts it on! I went to see 'Seachd, the Inaccessible Pinacle' tonight, down here in London, and was really impressed. It is a marvel: a truly beautiful film set in the Scottish Highlands: you will laugh, you will cry, you will be moved in may different ways, you will be intrigued, and as the story within the stories is revealed, you will be amazed at that revelation.<br /><br />This movie is in Scottish Gaelic with English Subtitles, but do not let that detract you if you are not a speaker of the Gaelic: I am just starting, and my son does not, nor did many people there tonight, and it did not spoil it for us by any manner of means! Superlatives do not suffice! The photography is superb - there is no CGI here, and the movie is all the better for that- here you have true photography! The script is so skilfully and subtly written. The many-layered plot weaves the magic art of the ancient storytellers. The music is at times rousing, at times haunting, but always adding to the atmospheric ambiance. And the acting? ... it is to behold ... and the actors?... they the true weavers of this delightful yet profound film, particularly the two main actors, 'Padruig-the-young' and 'Padruig-the-elder' (A true bard, if ever there was!), who both carried a very heavy load! And the Direction? Well watch out Richard! And the Producer, responsible for raising funding, hiring key personnel, and arranging for distributors? A task well done! I hope that you will make sure that distribution goes out to our communities abroad! And the Gaelic community? Uill, without you it could not have happened! We were told that this movie was made on a low budget, but you would not know it, and I think it might well be because, for what they might have lacked in money, they more than made up for with the richness of the heart, and the warmth and co-operation of the local Scottish Gaelic community.<br /><br />A heartfelt thanks to all concerned in the making, and the sponsoring, of 'Seachd' - Mòran taing! (Many thanks!) From the Gaels to the World! From the World to the Gaels!",positive
"Rosenstrasse is more an intimate film than one of epic proportions, which could have kept away many film goers looking for a Pianist similar plot. Fortunately, Von Trotta, a good screenwriter, opts for a feminist peep to an era too much illustrated on its colorful exterior, but too little analyzed in terms of intimacy and from the point of view of ordinary Aryan German rather from a Jewish standpoint. Rosentrasse finds its strength in these unsung burdens of people trapped within historical circumstances of which they emerge as victims. The pace of the film is introspective, poignantly slow, meditative. Besides, the characters are so vivid while transitions between generations and the passing of time has been deftly crafted. Rosenstrasse is not a masterpiece, and some narrative flaws are well discerned. Another fault lies on a trivial cinematography unable to capture the intensity of the internal drama lived by the characters. Nevertheless, this film is worth seeing. Finally, Rosenstrasse is part of the last trend in German films dealing with the ghosts of a nightmarish past,trend that includes such excellent films as Nowhere in Africa, and recently, the controversial Downfall. I would recommend this film to those who know how to read beyond the images.",positive
"right the hospital scene with Holly and Shannon was done brilliantly it starts off with Piper On A gurney looking very badly injured, the docs race her into a resuscitation room & they move her from the gurney onto a bed and Prue Holds Her Hand from that point on it is obvious that Piper is having a lot of trouble breathing and her lungs are failing, as she turns to beg of Prue to not leave her side she gaps ""don't go i love you and then her pulse drops and she goes into cardiac arrest & the monitor shows a clear flat line & the nurses go into full out trauma mode & bring in a defibrillator Prue Steps back from the bed in horror as the doctors desperately try to shock her dying sisters heart but there is no response and she is tragically pronounced dead well great scene well done girls",positive
"I was excited at the concept of my favorite comic book hero being on television... and sorely disappointed at the end result.<br /><br />The only ""amazing"" thing was the wall crawling (despite the visibility of the cable). I didn't think Nick Hammond was Peter Parker... and he was visibly of a different build than the guy who did the stunts in the spider suit. You could tell they were two different actors.<br /><br />Granted, I can also spot in the modern Spider-Man movies when I am looking at Tobey Macguire and when I am looking at CGI. But that is from a trained eye and experience working with CGI. Still, the 70's version could have been better despite lack of Special FX.<br /><br />The webs were hokey and looked like ropes that seemed to wrap around things rather than stick to them. And what was up with giving him a spider mobile to ride around in. Hello? He's the web slinger people.<br /><br />Sorry... didn't mean to get so worked up, but our beloved wall crawler deserved better.",negative
"Every once in a long while a movie will come along that will be so awful that I feel compelled to warn people. If I labor all my days and I can save but one soul from watching this movie, how great will be my joy.<br /><br />Where to begin my discussion of pain. For starters, there was a musical montage every five minutes. There was no character development. Every character was a stereotype. We had swearing guy, fat guy who eats donuts, goofy foreign guy, etc. The script felt as if it were being written as the movie was being shot. The production value was so incredibly low that it felt like I was watching a junior high video presentation. Have the directors, producers, etc. ever even seen a movie before? Halestorm is getting worse and worse with every new entry. The concept for this movie sounded so funny. How could you go wrong with Gary Coleman and a handful of somewhat legitimate actors. But trust me when I say this, things went wrong, VERY WRONG.",negative
"This movie is George C. Scott at his very best, Bernard Hughes at his very best and Diana Rigg at her most pithy, and of course Paddy Chaevsky writing at ""masterpiece"" warp! There are also very brief snippets of future biggies like Susan Sarandon, Stockard Channing etc., who have one scene lines that you don't necessarily spot until your fifth or sixth time watching. Nancy Marchand as a young to middle age nurse supervisor is also superb, as well as practically every ""face"" in Hollywood of 1970.<br /><br />It is one of the few movies that gets better the more times you see it. Watch for the ""surprise"" scene ala ""Wait until Dark""! This is one of the few movies I have ever bought on DVD. It is that superb.",positive
